Region;Numb;;
Адыгея;1;;1
Башкортостан;2;;2
Бурятия;3;;3
Алтай;4;;4
Дагестан;5;;5
Ингушетия;6;;6
Кабардино-Балкарская;7;;7
Калмыкия;8;;8
Карачаево-Черкесская;9;;9
Карелия;10;;10
Коми;11;;11
МарийЭл;12;;12
Мордовия;13;;13
Саха;14;;14
Осетия-Алания;15;;15
Татарстан;16;;16
Тыва;17;;17
Удмуртская;18;;18
Хакасия;19;;19
Чеченская;20;;20
Чувашская;21;;21
Алтайский;22;;22
Краснодарский;23;;23
Красноярский;24;;24
Приморский;25;;25
Ставропольский;26;;26
Хабаровский;27;;27
Амурская;28;;28
Архангельская;29;;29
Астраханская;30;;30
Белгородская;31;;31
Брянская;32;;32
Владимирская;33;;33
Волгоградская;34;;34
Вологодская;35;;35
Воронежская;36;;36
Ивановская;37;;37
Иркутская;38;;38
Калининградская;39;;39
Калужская;40;;40
Камчатский;41;;41
Кемеровская;42;;42
Кировская;43;;43
Костромская;44;;44
Курганская;45;;45
Курская;46;;46
Ленинградская;47;;47
Липецкая;48;;48
Магаданская;49;;49
Московская;50;;50
Мурманская;51;;51
Нижегородская;52;;52
Новгородская;53;;53
Новосибирская;54;;54
Омская;55;;55
Оренбургская;56;;56
Орловская;57;;57
Пензенская;58;;58
Пермский;59;;59
Псковская;60;;60
Ростовская;61;;61
Рязанская;62;;62
Самарская;63;;63
Саратовская;64;;64
Сахалинская;65;;65
Свердловская;66;;66
Смоленская;67;;67
Тамбовская;68;;68
Тверская;69;;69
Томская;70;;70
Тульская;71;;71
Тюменская;72;;72
Ульяновская;73;;73
Челябинская;74;;74
Забайкальский;75;;75
Ярославская;76;;76
Москва;77;;77
Санкт-Петербург;78;;78
Еврейская;79;;79
Ненецкий;83;;83
Ханты-Мансийский;86;;86
Чукотский;87;;87
Ямало-Ненецкий;89;;89
Крым;91;;#Н/Д
Севастополь;92;;#Н/Д
Россия;100;;100
